"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Alt Text","Gift Card","SEO Title","SEO Description","Template Suffix","Status"
"aesthetic-labs-t3s-10","Aesthetic Labs T3S@ 10","<h2>Aesthetic Labs T3S@ 10</h2><p><strong>Investigación metabólica avanzada.</strong></p><p>Presentación técnica Aesthetic Labs para análisis de laboratorio y exploración documental de investigación metabólica.</p><h3>Presentación</h3><p>T3S@ 10.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, investigacion-metabolica","TRUE","Presentación","10","ALAB-T3S-10","0","","","deny","manual","2500","TRUE","TRUE","","Aesthetic Labs T3S@ 10 para investigación de laboratorio","FALSE","Aesthetic Labs T3S@ 10 | Alicyn Lab","Producto Aesthetic Labs para investigación metabólica avanzada y análisis técnico de laboratorio.","alicyn-lab","active"
"aesthetic-labs-nad-1000-mg","Aesthetic Labs NAD+ 1000 mg","<h2>Aesthetic Labs NAD+ 1000 mg</h2><p><strong>Energía celular, mitocondria y longevidad celular.</strong></p><p>Compuesto Aesthetic Labs para investigación técnica relacionada con energía celular y mitocondria en laboratorio.</p><h3>Presentación</h3><p>NAD+ 1000 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, cellular-energy, longevidad-celular","TRUE","Presentación","1000 mg","ALAB-NAD-1000","0","","","deny","manual","2000","TRUE","TRUE","","Aesthetic Labs NAD+ 1000 mg para investigación celular","FALSE","Aesthetic Labs NAD+ 1000 mg | Alicyn Lab","NAD+ Aesthetic Labs para investigación en energía y longevidad celular en laboratorio.","alicyn-lab","active"
"stack-bpc-157-tb-500-aesthetic-labs","Stack BPC-157 + TB-500 Aesthetic Labs","<h2>Stack BPC-157 + TB-500 Aesthetic Labs</h2><p><strong>Paquete comercial para respuesta tisular experimental.</strong></p><p>Incluye BPC-157 + TB-500 y está organizado por eje de investigación. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, respuesta-tisular","TRUE","Componentes","BPC-157 + TB-500","ALAB-STK-BT","0","","","deny","manual","3600","TRUE","TRUE","","Stack BPC-157 y TB-500 Aesthetic Labs para investigación","FALSE","Stack BPC-157 + TB-500 Aesthetic Labs | Alicyn Lab","Paquete comercial Aesthetic Labs organizado para investigación de respuesta tisular experimental en laboratorio.","alicyn-lab","active"
"wolverine-stack-bpc-157-tb-500","Wolverine Stack BPC-157 + TB-500","<h2>Wolverine Stack BPC-157 + TB-500</h2><p><strong>Paquete comercial para investigación en respuesta tisular.</strong></p><p>Incluye BPC-157 + TB-500. El nombre comercial identifica la presentación y no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, respuesta-tisular","TRUE","Componentes","BPC-157 + TB-500","ALAB-STK-WOLV","0","","","deny","manual","2550","TRUE","TRUE","","Wolverine Stack BPC-157 y TB-500 para investigación","FALSE","Wolverine Stack BPC-157 + TB-500 | Alicyn Lab","Paquete Aesthetic Labs para investigación técnica de respuesta tisular en laboratorio.","alicyn-lab","active"
"protocolo-hgh-natural","Protocolo HGH Natural","<h2>Protocolo HGH Natural</h2><p><strong>Paquete comercial de secretagogos y señalización hormonal experimental.</strong></p><p>Incluye CJC-1295 + Ipamorelin. El nombre comercial no representa resultados ni recomendaciones de aplicación.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, senalizacion-experimental","TRUE","Componentes","CJC-1295 + Ipamorelin","ALAB-PR-HGH","0","","","deny","manual","2850","TRUE","TRUE","","Protocolo HGH Natural Aesthetic Labs para investigación","FALSE","Protocolo HGH Natural | Alicyn Lab","Paquete comercial para investigación experimental de señalización en laboratorio. Uso técnico exclusivo.","alicyn-lab","active"
"protocolo-volumen","Protocolo Volumen","<h2>Protocolo Volumen</h2><p><strong>Paquete comercial para señalización IGF y composición corporal experimental.</strong></p><p>Incluye IGF1-LR3 + CJC-1295 + Ipamorelin. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, senalizacion-celular","TRUE","Componentes","IGF1-LR3 + CJC-1295 + Ipamorelin","ALAB-PR-VOL","0","","","deny","manual","4650","TRUE","TRUE","","Protocolo Volumen Aesthetic Labs para investigación","FALSE","Protocolo Volumen | Alicyn Lab","Paquete Aesthetic Labs organizado para investigación de señalización IGF y composición corporal experimental.","alicyn-lab","active"
"protocolo-recuperacion-total","Protocolo Recuperación Total","<h2>Protocolo Recuperación Total</h2><p><strong>Paquete comercial para respuesta tisular y señalización celular.</strong></p><p>Incluye GHK-CU + BPC-157 + TB-500. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, senalizacion-celular","TRUE","Componentes","GHK-CU + BPC-157 + TB-500","ALAB-PR-RT","0","","","deny","manual","3800","TRUE","TRUE","","Protocolo Recuperación Total Aesthetic Labs para investigación","FALSE","Protocolo Recuperación Total | Alicyn Lab","Paquete comercial Aesthetic Labs para investigación de respuesta tisular y señalización celular.","alicyn-lab","active"
"protocolo-piel-y-longevidad-celular","Protocolo Piel y Longevidad Celular","<h2>Protocolo Piel y Longevidad Celular</h2><p><strong>Paquete comercial para skin wellness y longevidad celular.</strong></p><p>Incluye GHK-CU + NAD+ para exploración técnica beauty-tech. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, skin-wellness, longevidad-celular","TRUE","Componentes","GHK-CU + NAD+","ALAB-PR-PLC","0","","","deny","manual","3150","TRUE","TRUE","","Protocolo Piel y Longevidad Celular para investigación","FALSE","Protocolo Piel y Longevidad Celular | Alicyn Lab","Paquete Aesthetic Labs para investigación beauty-tech, skin wellness y longevidad celular en laboratorio.","alicyn-lab","active"
"protocolo-definicion","Protocolo Definición","<h2>Protocolo Definición</h2><p><strong>Paquete comercial para investigación metabólica experimental.</strong></p><p>Incluye HGH Fragment + AOD-9604. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, investigacion-metabolica","TRUE","Componentes","HGH Fragment + AOD-9604","ALAB-PR-DEF","0","","","deny","manual","6450","TRUE","TRUE","","Protocolo Definición Aesthetic Labs para investigación","FALSE","Protocolo Definición | Alicyn Lab","Paquete Aesthetic Labs organizado para investigación metabólica experimental en laboratorio.","alicyn-lab","active"
"protocolo-shred-definitivo","Protocolo Shred Definitivo","<h2>Protocolo Shred Definitivo</h2><p><strong>Paquete comercial para investigación metabólica avanzada.</strong></p><p>Incluye RT3 + AOD-9604. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, investigacion-metabolica","TRUE","Componentes","RT3 + AOD-9604","ALAB-PR-SHR","0","","","deny","manual","7400","TRUE","TRUE","","Protocolo Shred Definitivo Aesthetic Labs para investigación","FALSE","Protocolo Shred Definitivo | Alicyn Lab","Paquete comercial Aesthetic Labs para investigación metabólica avanzada y uso exclusivo de laboratorio.","alicyn-lab","active"
"protocolo-musculo-y-definicion","Protocolo Músculo y Definición","<h2>Protocolo Músculo y Definición</h2><p><strong>Paquete comercial para secretagogos y composición corporal experimental.</strong></p><p>Incluye Ipamorelin + CJC-1295 + HGH Fragment. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, senalizacion-experimental","TRUE","Componentes","Ipamorelin + CJC-1295 + HGH Fragment","ALAB-PR-MD","0","","","deny","manual","5200","TRUE","TRUE","","Protocolo Músculo y Definición para investigación","FALSE","Protocolo Músculo y Definición | Alicyn Lab","Paquete Aesthetic Labs para investigación experimental y análisis técnico en laboratorio.","alicyn-lab","active"
